"","mean_beta","sd_beta","hpdi89_hi","hpdi89_lo","log2_mean_beta","log2_sd_beta","log2_hpdi89_hi","log2_hpdi89_lo"
"1",0.00766017510860262,0.294195269718147,0.479234415908898,-0.409616596334705,1.00532374983948,1.22620081590487,1.39400372460042,0.752823413837542
"2",-0.144580228071099,0.423757131589195,0.43658598083917,-0.894867223509958,0.904642557443254,1.34141638707137,1.35339783033193,0.537796688343172
"3",0.180109983228544,0.474062279078693,0.929696406555598,-0.580919639107447,1.13297025349781,1.38901509626326,1.90487510163049,0.668537485491061
"4",0.0189442389281628,0.44054475841003,0.722500114150059,-0.684967058896497,1.01321773789865,1.35711667492204,1.65003898858266,0.622020029090953
"5",0.0950923981038598,0.268020322355251,0.518511845543007,-0.332230573136441,1.06813381500567,1.20415434329151,1.43247687135445,0.794307442846457
"6",0.521751705419245,0.584265034085194,1.38278991933116,-0.452040903045485,1.43569739910572,1.49927500471415,2.60772171471624,0.731007998491232
"7",-0.0303947441919169,0.440374863699715,0.66606982181424,-0.743147429228654,0.979152349354594,1.35695686750444,1.58674447786916,0.597434547380327
"8",0.0285601286199426,0.356868515346895,0.584350805924371,-0.553281016019904,1.01999362025978,1.28064314047908,1.49936414302383,0.681468550546106
"9",0.139212878173178,0.368990034983376,0.820024028224014,-0.410807180909808,1.10130409003163,1.291448429949,1.76543539583197,0.75220240233844
"10",-0.153848375775804,0.301777454891627,0.300728652707323,-0.619671069609185,0.898849588854407,1.23266216462844,1.23176637658939,0.650819295766141
"11",0.0525779685616481,0.437220521421552,0.806475927620493,-0.589249359190255,1.03711650459727,1.3539932262477,1.74893409784275,0.66468865763279
"12",-1.12359810795153,0.82011888126397,0.185918098178461,-2.42598609795163,0.458947772587016,1.76555147193567,1.13754064783786,0.186082450008487
"13",0.0106550768613454,0.436738974180773,0.701433464478854,-0.687512238577615,1.00741287682593,1.35354136159126,1.62611970585675,0.620923638634996
"14",0.0403806465938919,0.368443853672633,0.567529265192781,-0.599937020642424,1.02838512422564,1.29095960072791,1.4819833767656,0.6597827568906
"15",0.283680102732226,0.648172532193477,1.151094073712,-0.897858140845108,1.21729607050885,1.56718178228056,2.22082247554777,0.53668291224304
